User ID,Sample ID,Date Created,Date changed,Group ID,Site name,Geolocation (Latitude | Longitude),Freshwater body type,What is the land use in the immediate surroundings?,Is the algae...,Estimate the water flow,Estimate the water level,Nitrate,Phosphate,Water Quality – Secchi Tube (Turbidity).,Enter result,Estimate the water colour,Other
18009,54451,03/05/2019 15:39,03/05/2019 15:39,Thames Blitz | Group ID: 34343,Grand Union Canal,51.81600716752999 | -0.657884524602764,Other,Grassland/shrub,-,-,-,1.5,0.035,-,-,Colourless,-
18009,54446,03/05/2019 15:31,03/05/2019 15:31,Thames Blitz | Group ID: 34343,Wendover Arm of the Grand Union Canal,51.810172054944715 | -0.6593756391754368,Other,Grassland/shrub,-,-,-,7.5,0.075,-,-,Colourless,-
18009,54441,03/05/2019 15:25,03/05/2019 15:25,Thames Blitz | Group ID: 34343,Garden stream,51.80329102616845 | -0.6610465049743652,Stream,Other,-,-,-,1.5,0.075,-,-,Colourless,-
28856,55231,12/05/2019 09:59,12/05/2019 09:59,Thames Blitz | Group ID: 34343,Lockinge Church,51.581 | -1.383,Stream,Agriculture,-,-,-,7.5,0.01,-,-,Colourless,-
25971,54226,01/05/2019 16:01,01/05/2019 16:01,Thames Blitz | Group ID: 34343,River Mole | by cow field.,51.277676 | -0.330067,River,Other,-,-,-,12,0.35,-,-,Colourless,-
25966,53876,30/04/2019 13:35,30/04/2019 13:35,Thames Blitz | Group ID: 34343,Letcombe Brook (Cress Beds),51.565269763354465 | -1.460857093334198,Stream,Other,-,-,-,7.5,0.035,-,-,Colourless,-
29071,53686,29/04/2019 20:59,30/04/2019 22:14,Thames Blitz | Group ID: 34343,Kingsbury Mill Stream,51.75608 | -0.35405,Stream,Grassland/shrub,-,-,-,0.1,0.01,-,-,Colourless,-
30331,53676,29/04/2019 20:53,29/04/2019 20:53,Thames Blitz | Group ID: 34343,Honeydale Farm - lower down the Natural Flood Management scheme,51.868918127264685 | -1.5769113263977488,Pond,Grassland/shrub,-,-,-,7.5,0.01,-,-,Colourless,-
30331,53666,29/04/2019 20:49,29/04/2019 20:49,Thames Blitz | Group ID: 34343,Honeydale Farm,51.870587509565 | -1.578606482495161,Stream,Grassland/shrub,-,-,-,12,0.01,-,-,Colourless,-
30091,53626,29/04/2019 20:24,29/04/2019 20:38,Thames Blitz | Group ID: 34343,Pond at Future Forest for Education Site at Sylva Foundation,51.6396861 | -1.2128912000000582,Pond,Forest,-,-,-,0.1,0.075,-,-,Yellow,-
29566,53591,29/04/2019 19:59,29/04/2019 19:59,Thames Blitz | Group ID: 34343,Bradfords Brook just before Thames,51.59368826913015 | -1.1230995012572293,River,Urban Residential,-,-,-,7.5,0.075,-,-,Colourless,-
13736,54256,01/05/2019 18:14,01/05/2019 18:14,Thames Blitz | Group ID: 34343,Mallards Way,51.891589 | -1.146346,Pond,Urban Residential,-,-,-,0.1,0.01,-,-,Colourless,-
13736,54251,01/05/2019 18:13,01/05/2019 18:13,Thames Blitz | Group ID: 34343,Claypits pond,51.893298 | -1.146673,Pond,Urban Park,-,-,-,0.1,0.01,-,-,Colourless,-
13736,54246,01/05/2019 18:10,01/05/2019 18:10,Thames Blitz | Group ID: 34343,Dangerfield,51.899936 | -1.17179,Stream,Urban Residential,-,-,-,12,0.01,-,-,Colourless,-
30196,53406,29/04/2019 17:07,29/04/2019 17:07,Thames Blitz | Group ID: 34343,Top Cow Pasture Spring,51.87863624838464 | 1.9224600242614542,Other,Grassland/shrub,-,-,-,7.5,0.01,-,-,Colourless,-
29071,54401,02/05/2019 22:33,02/05/2019 22:33,Thames Blitz | Group ID: 34343,Sopwell | A414,51.72986 | -0.33224,River,Agriculture,-,-,-,1.5,0.035,-,-,Colourless,-
30196,53396,29/04/2019 17:02,29/04/2019 17:02,Thames Blitz | Group ID: 34343,The Close Spring,51.87614187245135 | 1.9199494766235148,Other,Grassland/shrub,-,-,-,7.5,0.01,-,-,Colourless,-
30196,53386,29/04/2019 16:57,29/04/2019 16:57,Thames Blitz | Group ID: 34343,Hitchin Spring,51.87664102386755 | 1.9175891326904093,Other,Grassland/shrub,-,-,-,7.5,0.01,-,-,Colourless,-
29566,53586,29/04/2019 19:57,29/04/2019 19:57,Thames Blitz | Group ID: 34343,Mill Brook off Hithercroft Road | near Cholsey Hill footpath (easterly footbridge),51.59344387638001 | -1.170090485931496,Stream,Agriculture,-,-,-,3.5,0.35,-,-,Colourless,-
29071,54396,02/05/2019 22:31,02/05/2019 22:31,Thames Blitz | Group ID: 34343,Sopwell | Ver Meadow,51.73244 | -0.33,River,Agriculture,-,-,-,3.5,0.035,-,-,Colourless,-
25971,53496,29/04/2019 18:43,01/05/2019 15:43,Thames Blitz | Group ID: 34343,River Mole | Thorncroft Bridge.,51.29005 | -0.328249,River,Grassland/shrub,-,-,-,12,0.035,-,-,Colourless,-
30196,53381,29/04/2019 16:52,29/04/2019 16:52,Thames Blitz | Group ID: 34343,Bottom Taffy's Knoll Spring,51.87377957292033 | 1.9231252120971476,Other,Grassland/shrub,-,-,-,0.1,0.01,-,-,Colourless,-
13836,54236,01/05/2019 16:45,01/05/2019 16:45,Thames Blitz | Group ID: 34343,riverchessmoor,51.6965 | -0.6048,Stream,Urban Park,-,-,-,7.5,0.035,-,-,Colourless,-
21519,53316,29/04/2019 16:27,29/04/2019 16:27,Thames Blitz | Group ID: 34343,Manor Farm | East Hagbourne ,51.58966291757326 | -1.2431492555537034,Stream,Urban Residential,-,-,-,3.5,0.035,-,-,Colourless,-
28921,53311,29/04/2019 16:25,29/04/2019 16:25,Thames Blitz | Group ID: 34343,Fir Farm,51.9263838 | -1.7483135999999604,River,Agriculture,-,-,-,3.5,0.035,-,-,Colourless,-
25971,53486,29/04/2019 18:38,01/05/2019 15:49,Thames Blitz | Group ID: 34343,River Mole. Upstream of weir.,51.292064 | -0.330527,River,Other,-,-,-,7.5,0.75,-,-,Colourless,-
29696,53851,30/04/2019 11:09,30/04/2019 11:09,Thames Blitz | Group ID: 34343,Ossie Brook 1,51.71194 | -1.35335,Stream,Forest,-,-,-,12,0.01,-,-,Colourless,-
29696,53856,30/04/2019 11:09,30/04/2019 11:09,Thames Blitz | Group ID: 34343,Ossie Brook 1,51.71194 | -1.35335,Stream,Forest,-,-,-,12,0.01,-,-,Colourless,-
19588,53431,29/04/2019 17:34,29/04/2019 17:34,Thames Blitz | Group ID: 34343,Gavray Pond,51.895571275071056 | -1.1376514447051704,Pond,Urban Park,-,-,-,0.1,0.01,-,-,Yellow,-
28721,53571,29/04/2019 19:51,29/04/2019 19:51,Thames Blitz | Group ID: 34343,Hardwick Brook,51.760661 | -1.442406,Stream,Other,-,-,-,0.35,0.035,-,-,Colourless,-
29566,53576,29/04/2019 19:53,29/04/2019 19:53,Thames Blitz | Group ID: 34343,Mill Brook at Berry Lane | Blewbury,51.57117629230508 | -1.233619818031002,Stream,Urban Residential,-,-,-,12,0.01,-,-,Colourless,-
28721,53561,29/04/2019 19:48,29/04/2019 19:48,Thames Blitz | Group ID: 34343,Tar Lakes Large Pond,51.761322 | -1.442611,Pond,Other,-,-,-,0.1,0.01,-,-,Colourless,-
28946,53896,30/04/2019 14:03,30/04/2019 14:03,Thames Blitz | Group ID: 34343,Coppermill Stream,51.58512989902528 | -0.05419135093688965,River,Urban Park,-,-,-,0.35,0.035,-,-,Colourless,-
25971,53481,29/04/2019 18:27,01/05/2019 15:47,Thames Blitz | Group ID: 34343,River Mole. Water outlet from business park.,51.295681 | -0.337634,River,Industrial,-,-,-,7.5,0.035,-,-,Colourless,-
28721,53551,29/04/2019 19:44,29/04/2019 19:44,Thames Blitz | Group ID: 34343,Tar Lakes Pit 67,51.761993 | -1.447238,Lake,Other,-,-,-,0.1,0.035,-,-,Colourless,-
28986,53391,29/04/2019 17:02,29/04/2019 17:26,Thames Blitz | Group ID: 34343,OVERY MILL STREAM | 100m DOWNSTREAM OF OVERY MILL POOL | DORCHESTER-ON-THAMES,51.64312886443875 | -1.1606637471296608,River,Grassland/shrub,-,-,-,12,0.01,-,-,Brown,-
30096,53326,29/04/2019 16:36,29/04/2019 16:36,Thames Blitz | Group ID: 34343,River Thames,51.56145892197659 | -0.7047824439941905,River,Grassland/shrub,-,-,-,7.5,0.035,-,-,Colourless,-
19588,53451,29/04/2019 17:51,29/04/2019 17:51,Thames Blitz | Group ID: 34343,Reed Pond Langford,51.893803514956765 | -1.1414692642791806,Pond,Urban Park,-,-,-,0.1,0.01,-,-,Colourless,-
23503,53251,29/04/2019 15:46,29/04/2019 15:46,Thames Blitz | Group ID: 34343,River Kennet | Upper Benyons,51.399229 | -1.121857,River,Agriculture,-,-,-,3.5,0.01,-,-,Green,-
22652,54596,06/05/2019 13:35,06/05/2019 13:35,Thames Blitz | Group ID: 34343,Ginge Brook | Sutton Courtenay,51.64204244453348 | -1.2790111828115869,Stream,Urban Residential,-,-,-,7.5,0.75,-,-,Colourless,-
25971,53471,29/04/2019 18:17,01/05/2019 15:45,Thames Blitz | Group ID: 34343,River Mole | Common Meadow | Second bench from Leatherhead Bridge | near crematorium.,51.297599 | -0.344718,River,Grassland/shrub,-,-,-,7.5,0.035,-,-,Colourless,-
29566,53566,29/04/2019 19:50,29/04/2019 19:50,Thames Blitz | Group ID: 34343,Mill Brook springs at Blewbury ,51.56920123717742 | -1.2366018642396739,Stream,Urban Residential,-,-,-,12,0.01,-,-,Colourless,-
30096,53366,29/04/2019 16:42,29/04/2019 16:42,Thames Blitz | Group ID: 34343,Lulle Brook,51.55877243742485 | -0.701862055114816,Stream,Other,-,-,-,7.5,0.01,-,-,Colourless,-
28696,53971,30/04/2019 15:34,30/04/2019 15:34,Thames Blitz | Group ID: 34343,Westwood Farm School Pond,51.4742 | -1.0464,Pond,Urban Residential,-,-,-,0.1,0.035,-,-,Colourless,-
28721,53546,29/04/2019 19:37,29/04/2019 19:37,Thames Blitz | Group ID: 34343,Ducklington Lake,51.774611 | -1.486336,Lake,Other,-,-,-,0.1,0.01,-,-,Brown,-
22652,54156,01/05/2019 08:08,06/05/2019 13:41,Thames Blitz | Group ID: 34343,Mill Brook near Church Lane | South Moreton,51.588097 | -1.197288,Stream,Agriculture,-,-,-,7.5,0.15,-,-,Colourless,-
19588,53441,29/04/2019 17:42,29/04/2019 17:42,Thames Blitz | Group ID: 34343,Langford Brook,51.894513719891165 | -1.1370617222289638,Stream,Urban Park,-,-,-,12,0.035,-,-,Colourless,-
22652,54151,01/05/2019 08:04,01/05/2019 10:08,Thames Blitz | Group ID: 34343,East Hendred Brook | footpath crossing south west of Church Lane | Steventon 290419,51.61339899114173 | -1.337938987528105,Stream,Agriculture,-,-,-,7.5,0.075,-,-,Colourless,-
21573,53206,29/04/2019 13:40,30/04/2019 07:21,Thames Blitz | Group ID: 34343,Jarvis Lane Bicester,51.902428 | -1.134975,Stream,Industrial,-,-,-,7.5,0.035,-,-,Colourless,-
22652,54146,01/05/2019 07:58,01/05/2019 07:58,Thames Blitz | Group ID: 34343,Ginge Brook | Icknield Way Crossing 290419,51.58519117310349 | -1.3609340668795085,Stream,Agriculture,-,-,-,12,0.075,-,-,Colourless,-
29071,53691,29/04/2019 21:03,29/04/2019 21:57,Thames Blitz | Group ID: 34343,River Ver - Prae Close,51.75528 | -0.35464,River,Urban Residential,-,-,-,3.5,0.035,-,-,Colourless,-
29366,53126,29/04/2019 11:37,29/04/2019 11:37,Thames Blitz | Group ID: 34343,Whiteknights LowerLake Oak and Irises,51.443537562202145 | -0.9401262458422934,Lake,Urban Park,-,-,-,0.75,0.01,-,-,Colourless,-
17925,55181,10/05/2019 11:33,10/05/2019 11:33,Thames Blitz | Group ID: 34343,Pit 31,51.71658705478175 | -1.4257199430988976,Lake,Grassland/shrub,-,-,-,0.1,0.01,-,-,Colourless,-
17925,55176,10/05/2019 11:32,10/05/2019 11:32,Thames Blitz | Group ID: 34343,Pit 30c,51.7180889447435 | -1.426565364313774,Lake,Grassland/shrub,-,-,-,0.75,0.01,-,-,Colourless,-
17925,55171,10/05/2019 11:30,10/05/2019 11:30,Thames Blitz | Group ID: 34343,Pit 30b,51.71701193886374 | -1.4279239151501315,Lake,Grassland/shrub,-,-,-,0.1,0.01,-,-,Colourless,-
17925,55166,10/05/2019 11:29,10/05/2019 11:29,Thames Blitz | Group ID: 34343,Pit 30a,51.71754201636547 | -1.4301583346746156,Lake,Grassland/shrub,-,-,-,0.1,0.01,-,-,Colourless,-
29801,53286,29/04/2019 16:07,30/04/2019 09:16,Thames Blitz | Group ID: 34343,Letcombe Brook | Letcombe Regis,51.343 | -1.2712,Stream,Other,-,-,-,7.5,0.01,-,-,Colourless,-
29366,53111,29/04/2019 11:26,29/04/2019 11:26,Thames Blitz | Group ID: 34343,Whiteknights Lower Lake near culvert from Wessex Hall,51.44391411920213 | -0.939368018881396,Lake,Urban Park,-,-,-,12,0.01,-,-,Colourless,-
29366,53096,29/04/2019 11:11,29/04/2019 11:11,Thames Blitz | Group ID: 34343,Whiteknights Lower Lake Thames Water Corner ,51.44447028097034 | -0.9435930477588954,Lake,Urban Park,-,-,-,7.5,0.01,-,-,Colourless,-
29801,53291,29/04/2019 16:11,30/04/2019 09:14,Thames Blitz | Group ID: 34343,Tributary to Letcombe Brook | Letcombe Regis,51.3415 | -1.2647,Stream,Other,-,-,-,0.75,0.01,-,-,Colourless,-
28931,53701,29/04/2019 21:20,29/04/2019 21:20,Thames Blitz | Group ID: 34343,Letcombe Brook (upstream),51.582 | -1.434,Stream,Other,-,-,-,7.5,0.01,-,-,Colourless,-
30016,53171,29/04/2019 12:44,29/04/2019 12:44,Thames Blitz | Group ID: 34343,Amwell Spring,51.564021 | -1.170714,Other,Other,-,-,-,1.5,0.01,-,-,Colourless,-
29366,53086,29/04/2019 10:58,29/04/2019 10:58,Thames Blitz | Group ID: 34343,Whiteknights Lower Lake Island,51.443795263815154 | -0.9417508263150012,Lake,Urban Park,-,-,-,0.35,0.01,-,-,Colourless,-
28696,53716,29/04/2019 21:52,29/04/2019 21:52,Thames Blitz | Group ID: 34343,Teaching Pond at The Nature Discovery Centre,51.3994 | -1.2715,Pond,Urban Park,-,-,-,0.1,0.01,-,-,Colourless,-
29366,53076,29/04/2019 10:48,29/04/2019 10:48,Thames Blitz | Group ID: 34343,Whiteknights Lower Lake Big Tree,51.44252892588399 | -0.941270543263272,Lake,Urban Park,-,-,-,0.35,0.01,-,-,Colourless,-
28931,53696,29/04/2019 21:17,29/04/2019 21:17,Thames Blitz | Group ID: 34343,Letcombe Brook (Betjeman Park),51.589 | -1.431,Stream,Urban Park,-,-,-,7.5,0.01,-,-,Colourless,-
28931,53706,29/04/2019 21:21,29/04/2019 21:21,Thames Blitz | Group ID: 34343,Letcombe Brook (Grove),51.612 | -1.422,Stream,Urban Residential,-,-,-,3.5,0.01,-,-,Colourless,-
23272,53736,30/04/2019 04:49,30/04/2019 04:55,Thames Blitz | Group ID: 34343,Frogmore Brook,51.639871045647794 | -1.4991841032202728,Stream,Agriculture,-,-,-,0.75,0.035,-,-,Colourless,-
23272,53741,30/04/2019 04:54,30/04/2019 04:54,Thames Blitz | Group ID: 34343,River Ock,51.638911564010826 | -1.4968904806756882,River,Agriculture,-,-,-,7.5,0.01,-,-,Colourless,-
21573,53066,29/04/2019 10:40,29/04/2019 13:21,Thames Blitz | Group ID: 34343,jubilee lake,51.889 | -1.135,Pond,Urban Residential,-,-,-,0.1,0.01,-,-,Other,cloudy
30166,52976,29/04/2019 10:28,29/04/2019 10:28,Thames Blitz | Group ID: 34343,Run-off Pond,51.63266564715944 | -1.2455726669342084,Pond,Other,-,-,-,0.1,1.2,-,-,Other,cloudy
21573,52966,29/04/2019 10:16,29/04/2019 13:22,Thames Blitz | Group ID: 34343,langford brook,51.892 | -1.142,Stream,Urban Park,-,-,-,7.5,0.01,-,-,Colourless,-
22654,54511,04/05/2019 07:36,04/05/2019 07:36,Thames Blitz | Group ID: 34343,Aston Tirrold,51.56605279999999 | -1.2023781999999983,Pond,Agriculture,-,-,-,0.35,0.01,-,-,Colourless,-
22662,53346,29/04/2019 16:38,29/04/2019 16:38,Thames Blitz | Group ID: 34343,River Pang Frogmore,51.443 | -1.157,Stream,Agriculture,-,-,-,3.5,0.01,-,-,Colourless,-
24456,53446,29/04/2019 17:44,29/04/2019 17:44,Thames Blitz | Group ID: 34343,Mooring downstream of goring lock,51.520764269 | -1.142900493,River,Urban Park,-,-,-,7.5,0.15,-,-,Colourless,-
30021,53531,29/04/2019 19:26,29/04/2019 19:26,Thames Blitz | Group ID: 34343,not sure,51.588 | -1.194,Stream,Agriculture,-,-,-,7.5,0.01,-,-,Colourless,-
22731,52931,29/04/2019 08:23,29/04/2019 08:23,Thames Blitz | Group ID: 34343,Ruislip High School Pond,51.562153646 | -0.408923384,Pond,Urban Park,-,-,-,0.1,0.035,-,-,Green,-
22662,53351,29/04/2019 16:38,29/04/2019 16:38,Thames Blitz | Group ID: 34343,Bourne below Bradfield ,51.455 | -1.105,Stream,Agriculture,-,-,-,0.75,0.01,-,-,Yellow,-
28701,53536,29/04/2019 19:32,29/04/2019 19:32,Thames Blitz | Group ID: 34343,Thames bank Abingdon,51.657 | -1.279,River,Urban Residential,-,-,-,7.5,0.01,-,-,Yellow,-
23409,52936,29/04/2019 08:24,29/04/2019 09:02,Thames Blitz | Group ID: 34343,Thames | Folly Bridge | Oxford,51.746450364 | -1.259551262,River,Urban Residential,-,-,-,7.5,0.075,-,-,Green,-
29351,53081,29/04/2019 10:52,29/04/2019 10:52,Thames Blitz | Group ID: 34343,Site 2 - UoR Lake,51.442 | -0.941,Lake,Grassland/shrub,-,-,-,0.1,0.01,-,-,Brown,-
29806,53261,29/04/2019 15:50,29/04/2019 15:50,Thames Blitz | Group ID: 34343,Wolvercote bridge ,51.781335343 | -1.295831837,River,Urban Park,-,-,-,1.5,0.01,-,-,Colourless,-
22662,53356,29/04/2019 16:38,29/04/2019 16:38,Thames Blitz | Group ID: 34343,River Pang Tidmarsh,51.468 | -1.085,River,Other,-,-,-,7.5,0.01,-,-,Colourless,-
23293,53456,29/04/2019 17:53,29/04/2019 17:53,Thames Blitz | Group ID: 34343,Alders Brook | Ilford,51.557464558 | 0.058420608,Stream,Grassland/shrub,-,-,-,0.1,0.035,-,-,Green,-
25196,53541,29/04/2019 19:36,29/04/2019 19:36,Thames Blitz | Group ID: 34343,Ditch alongside field,51.590451119 | -1.124382438,Other,Agriculture,-,-,-,3.5,0.01,-,-,Colourless,-
23409,52941,29/04/2019 08:57,29/04/2019 09:01,Thames Blitz | Group ID: 34343,Thames | Donnington Bridge | Oxford,51.738717368 | -1.244068397,River,Urban Park,-,-,-,3.5,0.035,-,-,Green,-
18006,53166,29/04/2019 12:43,29/04/2019 12:43,Thames Blitz | Group ID: 34343,Wendover arm at Drayton Beauchamp bridge,51.799526126 | -0.691553028,Other,Agriculture,-,-,-,7.5,0.01,-,-,Colourless,-
25396,53266,29/04/2019 15:53,29/04/2019 15:53,Thames Blitz | Group ID: 34343,River Kennet at Northcroft Park,51.401890274 | -1.33293475,River,Urban Park,-,-,-,3.5,0.01,-,-,Brown,-
30116,53361,29/04/2019 16:41,29/04/2019 16:41,Thames Blitz | Group ID: 34343,Montem stream,51.509191459 | -0.609287247,Stream,Urban Residential,-,-,-,1.5,0.035,-,-,Brown,-
24456,53461,29/04/2019 18:00,29/04/2019 18:02,Thames Blitz | Group ID: 34343,Thames path from manor road,51.514807041 | -1.140372427,River,Grassland/shrub,-,-,-,7.5,0.075,-,-,Colourless,-
29591,53711,29/04/2019 21:35,29/04/2019 21:35,Thames Blitz | Group ID: 34343,Rowan Park Pond,51.405030931 | -0.143180089,Pond,Urban Residential,-,-,-,0.1,0.01,-,-,Yellow,-
21573,52946,29/04/2019 09:38,29/04/2019 13:25,Thames Blitz | Group ID: 34343,Bure Park,51.908 | -1.158,Stream,Urban Residential,-,-,-,12,0.035,-,-,Colourless,-
18006,53091,29/04/2019 11:09,29/04/2019 11:09,Thames Blitz | Group ID: 34343,Wild pond,51.804910954 | -0.696798423,Pond,Other,-,-,-,0.1,0.01,-,-,Colourless,-
30101,53281,29/04/2019 16:06,29/04/2019 16:06,Thames Blitz | Group ID: 34343,Kelmscott,51.688 | -1.636,River,Agriculture,-,-,-,7.5,0.35,-,-,Green,-
23293,53466,29/04/2019 18:12,29/04/2019 18:12,Thames Blitz | Group ID: 34343,River Roding | Ilford,51.561963921 | 0.052570459,River,Grassland/shrub,-,-,-,7.5,0.15,-,-,Colourless,-
30101,53371,29/04/2019 16:42,29/04/2019 16:42,Thames Blitz | Group ID: 34343,Radcot,51.693 | -1.588,River,Other,-,-,-,12,0.01,-,-,Green,-
21573,52956,29/04/2019 09:59,29/04/2019 13:23,Thames Blitz | Group ID: 34343,Hunt Close Bicester,51.898 | -1.154,Stream,Urban Residential,-,-,-,12,0.01,-,-,Colourless,-
18006,53101,29/04/2019 11:15,29/04/2019 11:15,Thames Blitz | Group ID: 34343,Stream,51.805360559 | -0.694449227,Stream,Grassland/shrub,-,-,-,7.5,0.01,-,-,Colourless,-
30116,53376,29/04/2019 16:43,29/04/2019 16:43,Thames Blitz | Group ID: 34343,Montem stream,51.509204786 | -0.609279452,Stream,Urban Residential,-,-,-,0.75,0.035,-,-,Brown,-
29111,54036,30/04/2019 17:10,30/04/2019 17:10,Thames Blitz | Group ID: 34343,River Roding (Ray Park),0 | 0,River,Grassland/shrub,-,-,-,7.5,0.75,-,-,Colourless,-
29351,53106,29/04/2019 11:19,29/04/2019 11:19,Thames Blitz | Group ID: 34343,Site 4 - UoR Lake,51.441 | -0.94,Lake,Grassland/shrub,-,-,-,1.5,0.01,-,-,Brown,-
18145,53186,29/04/2019 13:04,29/04/2019 13:04,Thames Blitz | Group ID: 34343,The Lords Pond,51.552559384 | -0.835953271,Pond,Other,-,-,-,7.5,0.01,-,-,Colourless,-
28866,53296,29/04/2019 16:12,29/04/2019 16:20,Thames Blitz | Group ID: 34343,Well,51.725 | -1.436,Other,Urban Residential,-,-,-,12,0.01,-,-,Colourless,-
30116,53301,29/04/2019 16:12,29/04/2019 16:12,Thames Blitz | Group ID: 34343,Baylis Park,51.516315071 | -0.604897309,Stream,Urban Residential,-,-,-,0.75,0.01,-,-,Brown,-
23293,53491,29/04/2019 18:39,29/04/2019 18:39,Thames Blitz | Group ID: 34343,River Roding | Ilford Hill | Ilford,51.556816134 | 0.065946132,River,Grassland/shrub,-,-,-,7.5,0.15,-,-,Colourless,-
18006,53116,29/04/2019 11:28,29/04/2019 11:28,Thames Blitz | Group ID: 34343,Fish pond,51.80445523 | -0.697094221,Pond,Other,-,-,-,0.35,0.15,-,-,Yellow,-
29696,53306,29/04/2019 16:14,29/04/2019 16:14,Thames Blitz | Group ID: 34343,Ossie Brook 2 | Appleton,51.70832 | -1.35827,Stream,Agriculture,-,-,-,12,0.01,-,-,Colourless,-
29351,53121,29/04/2019 11:28,29/04/2019 11:40,Thames Blitz | Group ID: 34343,Site 5 - UoR Lake ,51.44 | -0.94,Lake,Grassland/shrub,-,-,-,1.5,0.01,-,-,Colourless,-
22708,53401,29/04/2019 17:07,30/04/2019 09:05,Thames Blitz | Group ID: 34343,Shilton,51.774911893 | -1.613250846,Stream,Urban Residential,-,-,-,12,0.035,-,-,Colourless,-
30021,53506,29/04/2019 18:54,29/04/2019 18:54,Thames Blitz | Group ID: 34343,mill brook,51.594 | -1.172,Stream,Agriculture,-,-,-,7.5,0.01,-,-,Colourless,-
28866,53321,29/04/2019 16:28,29/04/2019 16:30,Thames Blitz | Group ID: 34343,Standlake Brook,51.725 | -1.436,Stream,Other,-,-,-,0.35,0.01,-,-,Colourless,-
25791,53511,29/04/2019 19:01,29/04/2019 19:01,Thames Blitz | Group ID: 34343,Daylesford - River Evenload,51.927 | -1.65,River,Agriculture,-,-,-,7.5,0.35,-,-,Colourless,-
30076,53136,29/04/2019 11:46,29/04/2019 11:46,Thames Blitz | Group ID: 34343,Shiel Location A (Jubilee River),51.501 | -0.605,River,Urban Park,-,-,-,3.5,0.01,-,-,Green,-
18145,53231,29/04/2019 14:56,29/04/2019 14:56,Thames Blitz | Group ID: 34343,River Thames (at Medmenham),51.546675037 | -0.839380967,River,Grassland/shrub,-,-,-,7.5,0.075,-,-,Brown,-
25196,53516,29/04/2019 19:06,29/04/2019 19:06,Thames Blitz | Group ID: 34343,Slipway upstream of OUBC,51.595990048 | -1.122318227,River,Urban Residential,-,-,-,3.5,0.01,-,-,Colourless,-
23409,52911,29/04/2019 07:57,29/04/2019 09:03,Thames Blitz | Group ID: 34343,Thames | Iffley Village | Oxford,51.729003253 | -1.238724108,River,Urban Park,-,-,-,3.5,0.035,-,-,Green,-
22662,53336,29/04/2019 16:38,29/04/2019 16:38,Thames Blitz | Group ID: 34343,River Pang Compton,51.505 | -1.241,Stream,Agriculture,-,-,-,12,0.01,-,-,Yellow,-
22731,52916,29/04/2019 08:09,29/04/2019 08:09,Thames Blitz | Group ID: 34343,Yeading Brook at Ruislip High,51.561845569 | -0.408700593,River,Urban Park,-,-,-,3.5,0.35,-,-,Colourless,-
22662,53341,29/04/2019 16:38,29/04/2019 16:38,Thames Blitz | Group ID: 34343,River Pang Rushden,51.436 | -1.195,Stream,Agriculture,-,-,-,1.5,0.01,-,-,-,-
